unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1673823600,2023-01-15 23:00:00,BTC/USDT,20905,20905,20867,20870,0.17417939,3635.1238692999996
1673820000,2023-01-15 22:00:00,BTC/USDT,20863,20926,20758,20919,3.69796816,77357.79593903999
1673816400,2023-01-15 21:00:00,BTC/USDT,20890,20901,20878,20901,1.37583166,28756.25752566
1673812800,2023-01-15 20:00:00,BTC/USDT,20862,20920,20841,20920,0.33003409,6904.3131628
1673809200,2023-01-15 19:00:00,BTC/USDT,20814,20885,20792,20885,0.05816516,1214.7793666
1673805600,2023-01-15 18:00:00,BTC/USDT,20921,20921,20721,20822,12.03634516,250620.77892152
1673802000,2023-01-15 17:00:00,BTC/USDT,20888,21040,20877,20946,1.00327460,21014.589771599996
1673798400,2023-01-15 16:00:00,BTC/USDT,20891,20945,20868,20892,1.24814989,26076.34750188
1673794800,2023-01-15 15:00:00,BTC/USDT,20851,20991,20849,20926,1.27297356,26638.244716560002
1673791200,2023-01-15 14:00:00,BTC/USDT,20710,20818,20710,20790,3.52543262,73293.7441698
1673787600,2023-01-15 13:00:00,BTC/USDT,20686,20815,20686,20711,0.14642876,3032.68604836
1673784000,2023-01-15 12:00:00,BTC/USDT,20722,20740,20682,20698,0.11054721,2288.10615258
1673780400,2023-01-15 11:00:00,BTC/USDT,20733,20743,20669,20726,0.75877502,15726.371064519999
1673776800,2023-01-15 10:00:00,BTC/USDT,20735,20747,20708,20720,0.99822382,20683.1975504
1673773200,2023-01-15 09:00:00,BTC/USDT,20625,20750,20589,20750,2.44408687,50714.8025525
1673769600,2023-01-15 08:00:00,BTC/USDT,20741,20747,20603,20631,5.16980911,106658.33174841
1673766000,2023-01-15 07:00:00,BTC/USDT,20720,20735,20672,20729,7.55927238,156696.15716502
1673762400,2023-01-15 06:00:00,BTC/USDT,20754,20782,20718,20718,0.69873794,14476.45264092
1673758800,2023-01-15 05:00:00,BTC/USDT,20752,20781,20745,20752,1.44578415,30002.9126808
1673755200,2023-01-15 04:00:00,BTC/USDT,20731,20760,20689,20690,6.10714547,126356.8397743
1673751600,2023-01-15 03:00:00,BTC/USDT,20696,20725,20301,20725,12.91621913,267688.64146925
1673748000,2023-01-15 02:00:00,BTC/USDT,20778,20806,20700,20702,0.94775917,19620.510337339998
1673744400,2023-01-15 01:00:00,BTC/USDT,20768,20771,20667,20771,2.61007663,54213.90168173
1673740800,2023-01-15 00:00:00,BTC/USDT,20932,20995,20652,20766,4.61979171,95934.59464986001
1673737200,2023-01-14 23:00:00,BTC/USDT,20984,21052,20946,20946,2.61436634,54760.517357640005
1673733600,2023-01-14 22:00:00,BTC/USDT,20880,21030,20877,20985,1.95364472,40997.2344492
1673730000,2023-01-14 21:00:00,BTC/USDT,20885,20921,20859,20898,4.79681281,100243.79410337999
1673726400,2023-01-14 20:00:00,BTC/USDT,20784,20899,20763,20889,10.36300997,216472.91526333
1673722800,2023-01-14 19:00:00,BTC/USDT,20751,20858,20738,20790,5.62587187,116961.8761773
1673719200,2023-01-14 18:00:00,BTC/USDT,20778,20795,20674,20745,4.90172163,101686.21521435
1673715600,2023-01-14 17:00:00,BTC/USDT,20798,20895,20747,20762,9.93009691,206168.67204541998
1673712000,2023-01-14 16:00:00,BTC/USDT,20817,20869,20762,20766,3.68753217,76575.29304222
1673708400,2023-01-14 15:00:00,BTC/USDT,20863,20863,20658,20731,10.88676430,225693.51070329998
1673704800,2023-01-14 14:00:00,BTC/USDT,20929,21181,20581,20826,23.88589316,497447.61095015996
1673701200,2023-01-14 13:00:00,BTC/USDT,20904,20964,20791,20930,4.58979456,96064.40014079999
1673697600,2023-01-14 12:00:00,BTC/USDT,20726,20941,20589,20915,24.30135860,508262.915119
1673694000,2023-01-14 11:00:00,BTC/USDT,20504,20746,20486,20719,12.00789533,248791.58334227
1673690400,2023-01-14 10:00:00,BTC/USDT,20523,20524,20250,20506,12.09527188,248025.64517128002
1673686800,2023-01-14 09:00:00,BTC/USDT,21000,21000,20304,20526,60.17314384,1235113.95045984
1673683200,2023-01-14 08:00:00,BTC/USDT,20890,21021,20888,21016,6.45191671,135593.48157735998
1673679600,2023-01-14 07:00:00,BTC/USDT,20961,20961,20863,20891,4.42344512,92410.19200192
1673676000,2023-01-14 06:00:00,BTC/USDT,20846,20968,20846,20950,6.31621980,132324.80481
1673672400,2023-01-14 05:00:00,BTC/USDT,20903,20906,20802,20832,17.96574923,374262.48795936
1673668800,2023-01-14 04:00:00,BTC/USDT,20921,21021,20885,20904,9.76061036,204035.79896544
1673665200,2023-01-14 03:00:00,BTC/USDT,20950,20983,20797,20953,7.76013357,162598.07869221
1673661600,2023-01-14 02:00:00,BTC/USDT,20943,21043,20849,20925,23.19012903,485253.44995275
1673658000,2023-01-14 01:00:00,BTC/USDT,20890,21068,20738,20947,13.50597656,282909.69100232003
1673654400,2023-01-14 00:00:00,BTC/USDT,19935,21300,19897,20896,68.61926396,1433868.13970816
1673650800,2023-01-13 23:00:00,BTC/USDT,19867,19935,19747,19928,9.16635250,182667.07262000002
1673647200,2023-01-13 22:00:00,BTC/USDT,19886,19974,19853,19853,5.65580095,112284.61626035
1673643600,2023-01-13 21:00:00,BTC/USDT,19464,19900,19386,19820,22.67429255,449404.47834100004
1673640000,2023-01-13 20:00:00,BTC/USDT,19357,19479,19335,19474,6.83271156,133060.22491944
1673636400,2023-01-13 19:00:00,BTC/USDT,19273,19361,19256,19358,8.49139922,164376.50610076
1673632800,2023-01-13 18:00:00,BTC/USDT,19285,19371,19274,19300,12.00548956,231705.94850799997
1673629200,2023-01-13 17:00:00,BTC/USDT,19139,19387,19112,19243,18.70053560,359854.40655079996
1673625600,2023-01-13 16:00:00,BTC/USDT,19278,19278,19074,19139,27.01053659,516954.65979601
1673622000,2023-01-13 15:00:00,BTC/USDT,19009,19291,19006,19268,20.68727437,398602.40256116004
1673618400,2023-01-13 14:00:00,BTC/USDT,18855,19130,18838,19004,17.14334049,325792.04267196
1673614800,2023-01-13 13:00:00,BTC/USDT,18865,18893,18819,18843,12.35046969,232719.90036867
1673611200,2023-01-13 12:00:00,BTC/USDT,18909,18909,18818,18851,1.21724455,22946.27701205
1673607600,2023-01-13 11:00:00,BTC/USDT,19033,19033,18918,18944,1.57944283,29920.964971520003
1673604000,2023-01-13 10:00:00,BTC/USDT,18922,19055,18870,19047,32.24145823,614103.0549068099
1673600400,2023-01-13 09:00:00,BTC/USDT,18850,18932,18850,18927,6.86011034,129841.30840518001
1673596800,2023-01-13 08:00:00,BTC/USDT,18825,18856,18818,18852,3.07296773,57931.58764596
1673593200,2023-01-13 07:00:00,BTC/USDT,18816,18829,18790,18820,0.39220170,7381.235994
1673589600,2023-01-13 06:00:00,BTC/USDT,18812,18862,18799,18862,1.61128944,30392.14141728
1673586000,2023-01-13 05:00:00,BTC/USDT,18817,18833,18784,18787,2.97153372,55826.20399764
1673582400,2023-01-13 04:00:00,BTC/USDT,18878,18881,18832,18832,2.27547658,42851.774954559995
1673578800,2023-01-13 03:00:00,BTC/USDT,18833,18880,18828,18880,1.94015406,36630.1086528
1673575200,2023-01-13 02:00:00,BTC/USDT,18815,18824,18794,18824,0.86853533,16349.309051920001
